year,track,portSize,ratio,port,set
2013,free,9,0.5719950753449966,"('gecode', 'izplus', 'or_tools', 'choco', 'jacop', 'mistral', 'opturion_cpx', 'fzn2smt', 'picat')",participants-only
2014,free,1,0.17065491653639897,"('iZplus',)",participants-only
2014,free,2,0.31811328157179014,"('Opturion_CPX', 'iZplus')",participants-only
2014,free,3,0.4259936042653745,"('Opturion_CPX', 'OR_Tools', 'iZplus')",participants-only
2014,free,4,0.5076068249600472,"('Opturion_CPX', 'OR_Tools', 'iZplus', 'Picat_SAT')",participants-only
2014,free,5,0.5588002891412153,"('Opturion_CPX', 'OR_Tools', 'iZplus', 'Picat_SAT', 'SICStus_Prolog')",participants-only
2014,free,6,0.6099476998321042,"('Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'SICStus_Prolog')",participants-only
2014,free,7,0.640817358027818,"('Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'SICStus_Prolog')",participants-only
2014,free,8,0.6533527256399164,"('Opturion_CPX', 'OR_Tools', 'iZplus', 'HaifaCSP', 'Picat_SAT', 'Mistral', 'SICStus_Prolog', 'Choco')",participants-only
2015,free,1,0.11916968000997095,"('Opturion_CPX',)",participants-only
2015,free,2,0.21199387853381405,"('OR_Tools', 'Opturion_CPX')",participants-only
2015,free,3,0.29378615406243624,"('OR_Tools', 'Opturion_CPX', 'iZplus')",participants-only
2015,free,4,0.34277031691997517,"('OR_Tools', 'Opturion_CPX', 'iZplus', 'Picat_SAT')",participants-only
2015,free,5,0.4116827450070572,"('OscaR_CBLS', 'OR_Tools', 'Opturion_CPX', 'iZplus', 'Picat_SAT')",participants-only
2015,free,6,0.4635214689326877,"('OscaR_CBLS', 'OR_Tools', 'Opturion_CPX', 'JaCoP', 'iZplus', 'Picat_SAT')",participants-only
2015,free,7,0.5089013443824028,"('OscaR_CBLS', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT')",participants-only
2015,free,8,0.5562402885612105,"('OscaR_CBLS', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco')",participants-only
2015,free,9,0.5810944592429764,"('OscaR_CBLS', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'YACS')",participants-only
2015,free,10,0.5893058324207966,"('OscaR_CBLS', 'MinisatID', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'iZplus', 'Picat_SAT', 'Choco', 'YACS')",participants-only
2015,free,11,0.5903492164812169,"('OscaR_CBLS', 'MinisatID', 'OR_Tools', 'Opturion_CPX', 'Mistral', 'JaCoP', 'Picat_CP', 'iZplus', 'Picat_SAT', 'Choco', 'YACS')",participants-only
2016,free,1,0.1218320383501203,"('HaifaCSP',)",participants-only
2016,free,2,0.20695203119572655,"('Picat_SAT', 'HaifaCSP')",participants-only
2016,free,3,0.2973005278394774,"('iZplus', 'Picat_SAT', 'HaifaCSP')",participants-only
2016,free,4,0.3380245977393504,"('iZplus', 'Picat_SAT', 'HaifaCSP', 'OR_Tools')",participants-only
2016,free,5,0.35200704727471854,"('iZplus', 'Picat_SAT', 'HaifaCSP', 'Choco', 'OR_Tools')",participants-only
2016,free,6,0.36528616597213553,"('iZplus', 'Picat_SAT', 'HaifaCSP', 'Choco', 'Mistral', 'OR_Tools')",participants-only
2016,free,7,0.37096474070280977,"('iZplus', 'Picat_SAT', 'HaifaCSP', 'Choco', 'JaCoP', 'Mistral', 'OR_Tools')",participants-only
2016,free,8,0.37105362756438237,"('iZplus', 'Picat_SAT', 'HaifaCSP', 'MinisatID', 'Choco', 'JaCoP', 'Mistral', 'OR_Tools')",participants-only
2016,free,9,0.371070073935887,"('iZplus', 'Picat_SAT', 'HaifaCSP', 'MinisatID', 'Choco', 'JaCoP', 'Mistral', 'OR_Tools', 'SICStus_Prolog')",participants-only
2017,free,1,0.14146737306999338,"('or_tools_lcg',)",participants-only
2017,free,2,0.2209958414476524,"('or_tools_lcg', 'picat_sat')",participants-only
2017,free,3,0.2821281247550564,"('or_tools_lcg', 'izplus', 'picat_sat')",participants-only
